recall@100,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60,score61,score62,score63,score64,score65,score66,score67,score68,score69,score70,score71,score72,score73,score74,score75,score76,score77,score78,score79,score80,score81,score82,score83,score84,score85,score86,score87,score88,score89,score90,score91,score92,score93,score94,score95,score96,score97,score98,score99,score100
0.333333,13.663600,10.096900,8.904700,8.258600,7.958900,7.716200,7.359100,7.171300,6.455000,6.378500,6.373500,6.363900,6.346400,6.301300,6.276300,6.268700,6.238900,6.100800,6.063100,5.994500,5.901400,5.895700,5.895300,5.849600,5.772900,5.759400,5.747100,5.732300,5.702900,5.677100,5.635200,5.635200,5.620300,5.608300,5.591300,5.577300,5.546000,5.540300,5.540300,5.532600,5.513900,5.506200,5.504300,5.501600,5.472600,5.467000,5.441800,5.441800,5.434400,5.411700,5.411700,5.406600,5.384800,5.377000,5.374100,5.374100,5.362700,5.346600,5.337500,5.336300,5.310400,5.310400,5.305200,5.275200,5.271000,5.270500,5.217600,5.206000,5.187400,5.187400,5.187400,5.172000,5.128100,5.126800,5.106500,5.086500,5.086500,5.074200,5.059900,5.056800,5.054900,5.039300,5.037500,5.027500,5.027500,5.013300,5.005600,4.991900,4.990900,4.990900,4.987900,4.965800,4.964100,4.955500,4.939500,4.933100,4.933100,4.930500,4.928500,4.896100
1.000000,12.732600,11.424400,10.748300,10.739900,10.479400,10.040000,9.894400,9.865500,9.230100,8.864400,8.864000,8.351300,7.797500,7.744200,7.641200,7.383800,7.254400,6.990900,6.837100,6.510200,6.297100,5.956400,5.879800,5.050100,4.781600,2.755200,2.743000,2.732500,2.706000,2.689400,2.689400,2.671700,2.664600,2.664100,2.655600,2.650100,2.645700,2.638000,2.634400,2.634400,2.626000,2.620000,2.618700,2.613500,2.603900,2.599500,2.598100,2.583200,2.580800,2.579100,2.575100,2.575100,2.567800,2.567600,2.567400,2.567100,2.561900,2.561900,2.556300,2.554200,2.551300,2.550600,2.547600,2.539400,2.534600,2.528100,2.527800,2.522800,2.521700,2.521700,2.515300,2.515300,2.512400,2.512400,2.511800,2.506400,2.506400,2.504800,2.502500,2.500900,2.498700,2.496200,2.496200,2.490000,2.489300,2.489300,2.483700,2.477500,2.474800,2.474200,2.471300,2.470600,2.465200,2.461400,2.461400,2.461400,2.459000,2.453100,2.453000,2.453000
0.500000,10.482700,10.185400,9.987500,9.530000,9.343700,7.861900,7.807800,7.750800,7.653200,7.620300,7.508600,7.395400,7.389800,7.380400,7.338900,7.337500,7.260400,7.216600,7.102000,7.095400,7.045900,6.978600,6.951000,6.924600,6.882200,6.854900,6.742500,6.732100,6.652600,6.627900,6.621700,6.621700,6.596300,6.594000,6.591500,6.554700,6.536000,6.299000,6.294000,6.285000,6.237000,6.169900,6.120300,6.117000,6.042900,6.042900,5.976600,5.802900,5.802500,5.640600,5.624400,5.618200,5.584600,5.540800,5.534700,5.501800,5.477000,5.471700,5.368400,5.313100,5.283000,5.277900,5.234400,5.219800,5.212000,5.211400,5.196800,5.188400,5.180400,5.180400,5.158500,5.157300,5.150900,5.137200,5.126900,5.098800,5.098000,5.098000,5.090700,5.066100,5.066100,5.048700,5.024200,5.021700,5.017500,5.014100,5.012500,5.003500,4.995800,4.975400,4.972800,4.972800,4.967900,4.957300,4.956800,4.952500,4.951200,4.948500,4.929600,4.927600
1.000000,15.939700,14.798400,13.256600,12.387000,11.630200,11.338400,11.267300,10.302100,10.020900,9.537500,9.227900,9.065300,9.002200,8.899900,8.446200,8.140600,7.947700,7.835700,7.706600,7.638100,7.610300,7.605300,7.560100,7.518200,7.390600,7.357500,7.301700,7.249300,7.200000,7.155600,7.144000,7.095200,7.043700,7.035800,6.948600,6.885400,6.883900,6.871000,6.790700,6.783700,6.780300,6.776900,6.762100,6.712500,6.682000,6.611900,6.603400,6.522900,6.468700,6.461100,6.399600,6.399100,6.365700,6.363100,6.349500,6.327600,6.289400,6.264100,6.224900,6.026400,6.004600,5.975500,5.834700,5.795400,5.721700,5.702600,5.691000,5.663900,5.599700,5.599700,5.530600,5.439300,5.430400,5.395200,5.377800,5.344800,5.326300,5.326300,5.209400,5.161300,5.161300,5.054000,5.025100,4.991900,4.954500,4.922300,4.901900,4.895000,4.866100,4.827900,4.826300,4.673700,4.565400,4.428600,4.428600,4.363200,4.363200,4.178100,4.178100,4.148800
1.000000,24.311100,20.574900,17.124700,15.180000,15.062400,14.629500,14.562400,14.383300,14.349500,14.165200,13.926600,13.762700,13.709000,13.670000,13.602700,13.602700,13.466500,12.873600,12.831600,12.803200,12.803200,12.733500,12.664500,12.104200,12.003000,11.540000,11.101900,10.358500,10.319200,9.629500,9.397400,9.322500,9.200100,9.104800,8.965300,8.571100,8.508700,8.397300,8.173500,7.825600,7.824900,7.722300,7.716200,7.671600,7.671600,7.671600,7.621600,7.475500,7.413300,7.224900,7.171300,7.100900,6.723400,6.683500,6.596200,6.506300,6.481400,6.374000,6.287600,6.145700,5.969400,5.956400,5.791100,5.533000,5.428600,5.326100,5.287000,4.573700,4.458100,4.354800,4.252700,4.131400,4.101400,4.080800,3.957400,3.957400,3.849400,3.823300,3.797500,3.772100,3.722300,3.673800,3.650000,3.603400,3.603400,3.491800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,18.150100,13.722000,13.579600,12.115600,12.062700,11.778600,11.704400,10.877100,10.637200,10.531000,10.465600,10.044600,9.986400,9.813200,9.688800,9.587300,9.533400,9.382500,9.344700,9.215100,8.995500,8.979300,8.679900,8.378500,8.372000,8.335300,8.284900,8.267100,8.158100,8.062800,8.021300,7.987900,7.957600,7.767400,7.707400,7.676600,7.452200,7.439700,7.436300,7.367000,7.305200,7.248900,7.177500,7.140600,7.120400,7.120400,7.095200,7.078400,7.072400,7.067700,7.013000,6.998300,6.964600,6.940100,6.929700,6.928000,6.871000,6.864800,6.859500,6.818200,6.785100,6.776900,6.720900,6.686000,6.649100,6.590300,6.500100,6.481400,6.420900,6.412600,6.411700,6.332100,6.226000,6.167600,6.144500,6.142800,6.108500,6.108500,6.075400,6.068300,6.048200,6.018000,6.014300,6.012500,5.986400,5.962400,5.962100,5.962100,5.950000,5.939000,5.925100,5.866300,5.866300,5.834700,5.831200,5.811600,5.808500,5.772500,5.753600,5.728800
1.000000,17.182700,14.114000,13.704300,13.176700,12.243300,11.627700,11.220400,11.086600,10.573600,10.118300,10.056100,10.056100,10.037200,10.016100,9.813200,9.811500,9.811300,9.601700,9.528500,9.526900,9.438400,9.220000,9.212900,9.167300,9.134600,9.125800,9.095500,9.079100,9.056400,9.053500,8.976400,8.901000,8.838600,8.789700,8.686100,8.485300,8.471400,8.365200,8.136100,8.130200,8.062800,8.012400,7.958500,7.901200,7.833600,7.785900,7.705700,7.704200,7.693300,7.639100,7.627500,7.619600,7.593300,7.545100,7.523200,7.502100,7.448800,7.415400,7.327500,7.233400,7.138900,7.095200,7.089000,7.072400,7.058400,7.035000,6.935300,6.871000,6.776900,6.773200,6.734800,6.730100,6.682900,6.661300,6.640500,6.596700,6.576400,6.427100,6.422900,6.395500,6.340400,6.226000,6.156700,6.126900,6.102600,6.032000,6.020600,6.019400,6.018000,6.012500,5.973900,5.950000,5.925100,5.920500,5.902300,5.888300,5.878300,5.834700,5.822900,5.719700
0.333333,13.663600,10.096900,8.904700,8.258600,7.958900,7.716200,7.359100,7.171300,6.455000,6.378500,6.373500,6.363900,6.346400,6.301300,6.276300,6.268700,6.238900,6.100800,6.063100,5.994500,5.901400,5.895700,5.895300,5.849600,5.772900,5.759400,5.747100,5.732300,5.702900,5.677100,5.635200,5.635200,5.620300,5.608300,5.591300,5.577300,5.546000,5.540300,5.540300,5.532600,5.513900,5.506200,5.504300,5.501600,5.472600,5.467000,5.441800,5.441800,5.434400,5.411700,5.411700,5.406600,5.384800,5.377000,5.374100,5.374100,5.362700,5.346600,5.337500,5.336300,5.310400,5.310400,5.305200,5.275200,5.271000,5.270500,5.217600,5.206000,5.187400,5.187400,5.187400,5.172000,5.128100,5.126800,5.106500,5.086500,5.086500,5.074200,5.059900,5.056800,5.054900,5.039300,5.037500,5.027500,5.027500,5.013300,5.005600,4.991900,4.990900,4.990900,4.987900,4.965800,4.964100,4.955500,4.939500,4.933100,4.933100,4.930500,4.928500,4.896100
0.500000,15.391100,15.052000,12.705900,12.663100,11.094000,10.872300,10.751200,10.712100,10.333000,10.285300,10.039000,9.834900,9.748700,9.676300,9.551900,9.381000,9.360100,9.224500,8.923900,8.871100,8.805800,8.699300,8.644600,8.600800,8.561800,8.518900,8.504000,8.476300,8.469100,8.445800,8.395600,8.376200,8.268300,8.238200,8.191000,8.149400,8.074700,7.958500,7.956100,7.952900,7.947700,7.732600,7.693000,7.620900,7.599600,7.599200,7.478700,7.444400,7.240200,7.188200,7.095800,7.095200,7.074700,6.988800,6.987300,6.950400,6.842900,6.839400,6.821800,6.815700,6.809700,6.805700,6.783700,6.776900,6.758500,6.744900,6.738300,6.738300,6.703100,6.611500,6.513800,6.500000,6.482100,6.457200,6.400000,6.367600,6.366700,6.332500,6.327600,6.283700,6.218300,6.209800,6.189900,6.082000,6.074700,6.022900,5.998100,5.972100,5.943600,5.941700,5.927900,5.910200,5.873000,5.873000,5.869800,5.853400,5.834700,5.793600,5.727100,5.727100
1.000000,12.732600,11.424400,10.748300,10.739900,10.479400,10.040000,9.894400,9.865500,9.230100,8.864400,8.864000,8.351300,7.797500,7.744200,7.641200,7.383800,7.254400,6.990900,6.837100,6.510200,6.297100,5.956400,5.879800,5.050100,4.781600,2.755200,2.743000,2.732500,2.706000,2.689400,2.689400,2.671700,2.664600,2.664100,2.655600,2.650100,2.645700,2.638000,2.634400,2.634400,2.626000,2.620000,2.618700,2.613500,2.603900,2.599500,2.598100,2.583200,2.580800,2.579100,2.575100,2.575100,2.567800,2.567600,2.567400,2.567100,2.561900,2.561900,2.556300,2.554200,2.551300,2.550600,2.547600,2.539400,2.534600,2.528100,2.527800,2.522800,2.521700,2.521700,2.515300,2.515300,2.512400,2.512400,2.511800,2.506400,2.506400,2.504800,2.502500,2.500900,2.498700,2.496200,2.496200,2.490000,2.489300,2.489300,2.483700,2.477500,2.474800,2.474200,2.471300,2.470600,2.465200,2.461400,2.461400,2.461400,2.459000,2.453100,2.453000,2.453000
